requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
The system shall display real-time power consumption in kW or percentage.,Instantaneous power consumption,rectangular,150x300,black,,,footer_zone,,Instantaneous power consumption_icon.png,
The system shall calculate and display the average power consumption over a trip.,Average power consumption,rectangular,150x300,black,,,footer_zone,,Average power consumption_icon.png,
The system shall support 30 static telltales displayed in predefined slots.,QM Telltales - Static Slot (30 Telltales),rectangular,50x50 ,black,,,main_content_zone,,QM Telltales - Static Slot (30 Telltales)_icon.png,
The system shall allow 30 telltales to be shared across 10 available slots.,"QM Telltales - Sharable Slot (30 Telltales, 10 Slots)",rectangular,50x150,black,,,main_content_zone,,"QM Telltales - Sharable Slot (30 Telltales, 10 Slots)_icon.png",
The system shall support ASIL-B telltales for critical vehicle warnings.,ASIL-B Telltales (10 TT),Square,50x50 ,black,,,main_content_zone,,ASIL-B Telltales (10 TT)_icon.png,
The system shall perform a telltale self-test at each vehicle start-up.,Telltale Self Test,rectangular,200x400,black,,,main_content_zone,,Telltale Self Test_icon.png,
The system shall display static alerts with icons only for 50 predefined alerts.,Static Popup/Alert  -  Icon only   (50 Alerts),rectangular,100x100 ,grey,,,header_zone,,Static Popup/Alert  -  Icon only   (50 Alerts)_icon.png,
The system shall display static alerts with icons and text for 50 predefined alerts.,Static Popup/Alert  - Icon + Text (50 Alerts),rectangular,150x300 ,grey,,,header_zone,,Static Popup/Alert  - Icon + Text (50 Alerts)_icon.png,
The system shall display static alerts with text only for 50 predefined alerts.,Static Popup/Alert  -  Text only   (50 Alerts),rectangular,100x300 ,blue,,,header_zone,,Static Popup/Alert  -  Text only   (50 Alerts)_icon.png,
The system shall support 25 dynamic popups for real-time alerts.,Dynamic Popup/Alert  (25 Alerts),rectangular,200x400 ,black,,,header_zone,,Dynamic Popup/Alert  (25 Alerts)_icon.png,
"The system shall support a multi-zone display for left, right, and top sections.","Multi Zone display (Left, Right & Top)",rectangular,300x500 ,black,,,main_content_zone,,"Multi Zone display (Left, Right & Top)_icon.png",
The system shall display the currently playing track name.,Current Track name,rectangular,150x300 ,blue,,,main_content_zone,,Current Track name_icon.png,
The system shall show the elapsed and remaining time of the current track.,Current Track time,rectangular,150x300 ,blue,,,main_content_zone,,Current Track time_icon.png,
The system shall display source icons and album art for media playback.,Source Icons & Album art image,rectangular,150x300 ,grey,,,main_content_zone,,Source Icons & Album art image_icon.png,
The system shall provide volume control with visual feedback.,Volume,rectangular,100x300,grey,,,navigation_zone,"{
  ""volume-icon"": {
    ""position"": ""relative"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderTop"": ""25px solid transparent"",
    ""borderBottom"": ""25px solid transparent"",
    ""borderLeft"": ""40px solid black"",
    ""marginLeft"": ""10px""
  },
  ""speaker-body"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""-30px"",
    ""width"": ""20px"",
    ""height"": ""30px"",
    ""backgroundColor"": ""black""
  },
  ""wave1"": {
    ""position"": ""absolute"",
    ""top"": ""8px"",
    ""left"": ""50px"",
    ""width"": ""15px"",
    ""height"": ""15px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  },
  ""wave2"": {
    ""position"": ""absolute"",
    ""top"": ""0px"",
    ""left"": ""70px"",
    ""width"": ""25px"",
    ""height"": ""25px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  },
  ""wave3"": {
    ""position"": ""absolute"",
    ""top"": ""-10px"",
    ""left"": ""95px"",
    ""width"": ""35px"",
    ""height"": ""35px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  }
}",Volume_icon.png,
The system shall display the media list and allow selection of tracks.,Media list,rectangular,400x300,black,,,navigation_zone,,Media list_icon.png,
"The system shall display the current radio station name, RDS info, and frequency.","Current Radio name, RDS, Freq",rectangular,400x300,black,,,main_content_zone,".radio-signal {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Central circle (signal source) */
.radio-signal .center-dot {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  z-index: 2;
}

/* Antenna legs */
.radio-signal .leg {
  width: 10px;
  height: 60px;
  background-color: black;
  position: absolute;
  bottom: 10px;
  transform-origin: top center;
}

.radio-signal .left-leg {
  transform: rotate(-25deg);
  left: 35%;
}

.radio-signal .right-leg {
  transform: rotate(25deg);
  right: 35%;
}

/* Signal waves */
.radio-signal .wave {
  position: absolute;
  border: 4px solid black;
  border-radius: 50%;
  border-left-color: transparent;
  border-right-color: transparent;
  background: none;
}

.radio-signal .wave1 {
  width: 40px;
  height: 40px;
  top: 10px;
  left: 30px;
}

.radio-signal .wave2 {
  width: 60px;
  height: 60px;
  top: 0px;
  left: 20px;
}","Current Radio name, RDS, Freq_icon.png",
The system shall show the radio source icon.,Radio Source icon,circular,200x200,black,,,main_content_zone,".radio-signal {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Central circle (signal source) */
.radio-signal .center-dot {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  z-index: 2;
}

/* Antenna legs */
.radio-signal .leg {
  width: 10px;
  height: 60px;
  background-color: black;
  position: absolute;
  bottom: 10px;
  transform-origin: top center;
}

.radio-signal .left-leg {
  transform: rotate(-25deg);
  left: 35%;
}

.radio-signal .right-leg {
  transform: rotate(25deg);
  right: 35%;
}

/* Signal waves */
.radio-signal .wave {
  position: absolute;
  border: 4px solid black;
  border-radius: 50%;
  border-left-color: transparent;
  border-right-color: transparent;
  background: none;
}

.radio-signal .wave1 {
  width: 40px;
  height: 40px;
  top: 10px;
  left: 30px;
}

.radio-signal .wave2 {
  width: 60px;
  height: 60px;
  top: 0px;
  left: 20px;
}",Radio Source icon_icon.png,
The system shall display the radio list and allow track selection.,Radio List & Selection of track,Square,400x400,black,,,main_content_zone,,Radio List & Selection of track_icon.png,
The system shall indicate an ongoing call with caller details.,Ongoing Call,Square,400x400,black,,,main_content_zone,,Ongoing Call_icon.png,
The system shall notify the user of missed calls.,Missed call,Square,400x400,black,,,main_content_zone,"{
  ""/* Container for the missed call icon */"": {},
  "".missed-call-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".missed-call-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Missed call_icon.png,
The system shall provide an incoming call popup with accept/reject options.,Incoming call,Square,400x400,black,,,main_content_zone,"{
  ""/* Container for the incoming call icon */"": {},
  "".incoming-call-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".incoming-call-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Incoming call_icon.png,
The system shall support conference calling and display active participants.,Conferrence call,Square,400x400,black,,,main_content_zone,".conference-call {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
}

/* Central user (bottom circle) */
.conference-call .user-center {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: 10px;
  left: 50%;
  transform: translateX(-50%);
}

/* Central user's shoulders */
.conference-call .shoulders-center {
  width: 60px;
  height: 20px;
  background-color: black;
  border-radius: 10px / 5px;
  position: absolute;
  bottom: 0;
  left: 50%;
  transform: translateX(-50%);
}

/* Top-left user circle */
.conference-call .user-left {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 10px;
  left: 10px;
}

/* Top-left user shoulders */
.conference-call .shoulders-left {
  width: 40px;
  height: 12px;
  background-color: black;
  border-radius: 10px / 4px;
  position: absolute;
  top: 25px;
  left: 2px;
}

/* Top-right user circle */
.conference-call .user-right {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 10px;
  right: 10px;
}

/* Top-right user shoulders */
.conference-call .shoulders-right {
  width: 40px;
  height: 12px;
  background-color: black;
  border-radius: 10px / 4px;
  position: absolute;
  top: 25px;
  right: 2px;
}",Conferrence call_icon.png,
The system shall display the phone book and call history with call initiation support.,"Phone Book list, Missed call list & Call initiation",rectangular,400x300,black,,,main_content_zone,,"Phone Book list, Missed call list & Call initiation_icon.png",
The system shall synchronize and project navigation maps.,Navigation map projection & sync,Square,400x400,black,,,main_content_zone,"{
  ""component"": ""NavigationMapSyncIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""120px"",
    ""borderRadius"": ""50%"",
    ""border"": ""4px solid black"",
    ""boxSizing"": ""border-box"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""compass-needle"": {
      ""position"": ""absolute"",
      ""width"": ""4px"",
      ""height"": ""60px"",
      ""backgroundColor"": ""black"",
      ""transformOrigin"": ""bottom center"",
      ""transform"": ""rotate(45deg)""
    },
    ""sync-arrow1"": {
      ""position"": ""absolute"",
      ""top"": ""20px"",
      ""left"": ""20px"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderLeft"": ""15px solid black"",
      ""transform"": ""rotate(45deg)""
    },
    ""sync-arrow2"": {
      ""position"": ""absolute"",
      ""bottom"": ""20px"",
      ""right"": ""20px"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderRight"": ""15px solid black"",
      ""transform"": ""rotate(-135deg)""
    }
  }
}",Navigation map projection & sync_icon.png,
The system shall display Turn-By-Turn (TBT) icons for navigation guidance.,TBT icons,Square,100x100,black,,,main_content_zone,,TBT icons_icon.png,
The system shall allow selection of destinations from a stored list.,Destination list & selection,rectangular,200x400,black,,,main_content_zone,,Destination list & selection_icon.png,
The system shall support multiple languages with user selection.,Language,Square,100x300,black,,,notification_zone,,Language_icon.png,
"The system shall allow selection of measurement units (e.g., km/miles, L/gal).",Unit,Square,100x300,black,,,notification_zone,,Unit_icon.png,
The system shall allow the user to select and switch between different drive modes.,Drive mode,circular,200x200,black,,,header_zone,,Drive mode_icon.png,
The infotainment system shall provide a menu bar for quick access to main functions.,Menu Bar,rectangular,80x300,black,,,navigation_zone,,Menu Bar_icon.png,
The system shall include a hierarchical notification_zone with multiple levels.,notification_zone - Level 1,Square,300x500,black,,,notification_zone,,notification_zone - Level 1_icon.png,
The system shall provide detailed configuration options in Level 2 settings.,notification_zone - Level 2,Square,300x500,black,,,notification_zone,,notification_zone - Level 2_icon.png,
The system shall allow fine-tuning of system settings in Level 3.,notification_zone - Level 3,Square,300x500,black,,,notification_zone,,notification_zone - Level 3_icon.png,
The system shall support advanced configurations in Level 4 settings.,notification_zone - Level 4,Square,300x500,black,,,notification_zone,,notification_zone - Level 4_icon.png,
The system shall display Adaptive Cruise Control (ACC) status.,Adaptive Cruise Control,rectangular,150x300,black,,,main_content_zone,,Adaptive Cruise Control_icon.png,
The system shall provide visual feedback for Forward Collision Warning (FCW).,Forward Collision Warning Indication,Square,150x150,black,,,main_content_zone,".fcw-icon {
  position: relative;
  width: 120px;
  height: 80px;
}

/* Car shape */
.car {
  width: 60px;
  height: 30px;
  background-color: black;
  border-radius: 10px;
  position: absolute;
  left: 0;
  top: 25px;
}

/* Warning lines (simulating radar or alert effect) */
.warning-lines .line {
  display: block;
  width: 10px;
  height: 2px;
  background-color: black;
  position: absolute;
  left: 70px;
  top: 36px;
}

.warning-lines .one { transform: rotate(0deg) translateX(0); top: 26px; left: 70px; }
.warning-lines .two { transform: rotate(10deg) translateX(0); top: 36px; left: 75px; }
.warning-lines .three { transform: rotate(20deg) translateX(0); top: 46px; left: 80px; }

/* Impact burst or triangle warning */
.impact {
  position: absolute;
  width: 0;
  height: 0;
  border-left: 10px solid transparent;
  border-right: 10px solid transparent;
  border-bottom: 15px solid red;
  left: 95px;
  top: 30px;
}",Forward Collision Warning Indication_icon.png,
The system shall indicate blind spot detection warnings.,Blind Spot Indication,rectangular,150x300,black,,,main_content_zone,"{
  ""/* Container for the blind spot indication icon */"": {},
  "".blind-spot-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".blind-spot-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Blind Spot Indication_icon.png,
The system shall support multi-lane highway visualization.,Multilane highway display,rectangular,300x500,black,,,main_content_zone,,Multilane highway display_icon.png,
The system shall provide Lane Keep Assist (LKA) indications.,Lane Keep Assist,rectangular,150x300,black,,,main_content_zone,"{
  ""component"": ""LaneKeepAssistIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""120px"",
    ""backgroundColor"": ""white"",
    ""display"": ""flex"",
    ""justifyContent"": ""center"",
    ""alignItems"": ""center""
  },
  ""elements"": {
    ""center-lane"": {
      ""position"": ""absolute"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black""
    },
    ""left-lane"": {
      ""position"": ""absolute"",
      ""left"": ""30px"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black"",
      ""transform"": ""skewY(10deg)""
    },
    ""right-lane"": {
      ""position"": ""absolute"",
      ""right"": ""30px"",
      ""width"": ""4px"",
      ""height"": ""100%"",
      ""backgroundColor"": ""black"",
      ""transform"": ""skewY(-10deg)""
    },
    ""car"": {
      ""position"": ""absolute"",
      ""width"": ""30px"",
      ""height"": ""40px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""backgroundColor"": ""white""
    }
  }
}",Lane Keep Assist_icon.png,
The system shall display Lane Change Assist (LCA) status.,Lane Change Assist,rectangular,150x300,black,,,main_content_zone,"{
  ""/* Container for the lane change assist icon */"": {},
  "".lane-change-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".lane-change-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Lane Change Assist_icon.png,
The system shall provide Lane Departure Warning (LDW) alerts.,Lane Departure Function Display,rectangular,150x300,black,,,main_content_zone,,Lane Departure Function Display_icon.png,
The system shall notify the driver of attention-related alerts.,Driver Attention Assistance Alerts,rectangular,150x300,black,,,main_content_zone,,Driver Attention Assistance Alerts_icon.png,
The system shall display Autonomous Emergency Braking (AEB) warnings.,Autonomous Emergency Braking System,rectangular,150x300,black,,,main_content_zone,".aeb-telltale {
  width: 50px;
  height: 50px;
  background-color: white;
  border: 2px solid black; /* Outer circle border */
  border-radius: 50%; /* Circular shape */
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Car shape */
.aeb-telltale .car {
  width: 20px;
  height: 14px;
  background-color: black;
  position: relative;
  border-radius: 2px;
}

/* Car roof */
.aeb-telltale .car::before {
  content: """";
  position: absolute;
  top: -6px;
  left: 3px;
  width: 14px;
  height: 6px;
  background-color: black;
  border-radius: 2px 2px 0 0;
}

/* Car wheels */
.aeb-telltale .wheel-left,
.aeb-telltale .wheel-right {
  width: 4px;
  height: 4px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: -4px;
}

.aeb-telltale .wheel-left {
  left: 2px;
}

.aeb-telltale .wheel-right {
  right: 2px;
}

/* Alert lines */
.aeb-telltale .alert-left,
.aeb-telltale .alert-right {
  position: absolute;
  width: 10px;
  height: 2px;
  background-color: red;
  top: 15%;
}

.aeb-telltale .alert-left {
  left: -12px;
  transform: rotate(-30deg);
}

.aeb-telltale .alert-right {
  right: -12px;
  transform: rotate(30deg);
}",Autonomous Emergency Braking System_icon.png,
The system shall indicate window defrost activation.,Window defrost indication,Square,100x100,black,,,main_content_zone,"{
  ""window-defrost-icon"": {
    ""position"": ""relative"",
    ""width"": ""60px"",
    ""height"": ""40px"",
    ""borderTop"": ""6px solid black"",
    ""borderLeft"": ""6px solid black"",
    ""borderRight"": ""6px solid black"",
    ""borderRadius"": ""0 0 60px 60px"",
    ""overflow"": ""hidden"",
    ""backgroundColor"": ""transparent""
  },
  ""defrost-arrow"": {
    ""position"": ""absolute"",
    ""bottom"": ""8px"",
    ""left"": ""50%"",
    ""width"": ""10px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""translateX(-50%) rotate(-30deg)""
  },
  ""defrost-arrow::before"": {
    ""content"": ""''"",
    ""position"": ""absolute"",
    ""top"": ""-6px"",
    ""left"": ""-5px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""10px solid transparent"",
    ""borderRight"": ""10px solid transparent"",
    ""borderBottom"": ""10px solid black""
  },
  ""defrost-arrow-1"": {
    ""left"": ""20%""
  },
  ""defrost-arrow-2"": {
    ""left"": ""50%""
  },
  ""defrost-arrow-3"": {
    ""left"": ""80%""
  }
}",Window defrost indication_icon.png,
The system shall provide brake lining wear indications.,Brake lining indication,Square,100x100,black,,,main_content_zone,"{
  ""/* Container for the brake lining indication icon */"": {},
  "".brake-indicator-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".brake-indicator-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Brake lining indication_icon.png,
The system shall allow the user to set ACC speed limits.,ACC Speed setting,Square,100x100,black,,,main_content_zone,,ACC Speed setting_icon.png,
The system shall display detected objects on driving lanes.,Objects display on lanes,rectangular,300x500,black,,,main_content_zone,,Objects display on lanes_icon.png,
"The system shall visualize lanes, including curves.",Lane with curve,rectangular,300x500,black,,,main_content_zone,,Lane with curve_icon.png,
The system shall support Trailer Stability Assist (TSA) display.,TSA,rectangular,150x300,black,,,main_content_zone,,TSA_icon.png,
The system shall provide Auto Parking Assist (APA) status.,APA,rectangular,150x300,black,,,main_content_zone,,APA_icon.png,
The system shall support 2D multi-color themes.,Multi color Themes (2D),rectangular,300x500,black,,,navigation_zone,,Multi color Themes (2D)_icon.png,
The system shall support 3D multi-color themes.,Multi color Themes (3D),rectangular,300x500,black,,,navigation_zone,,Multi color Themes (3D)_icon.png,
The system shall automatically switch themes based on selected drive mode.,Drive mode based theme switch (3 Drive modes),Square,100x100,black,,,navigation_zone,,Drive mode based theme switch (3 Drive modes)_icon.png,
The system shall support day and night mode adjustments.,Day &Night mode,Square,100x100,black,,,navigation_zone,".day-night-icon {
  width: 120px;
  height: 120px;
  position: relative;
  background-color: white;
  border-radius: 50%;
  border: 10px solid black; /* Outer sun ring */
  box-sizing: border-box;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Moon shape - black crescent */
.day-night-icon::before {
  content: """";
  position: absolute;
  width: 60px;
  height: 60px;
  background-color: black;
  border-radius: 50%;
  left: 30px;
  top: 30px;
  z-index: 1;
}

.day-night-icon::after {
  content: """";
  position: absolute;
  width: 60px;
  height: 60px;
  background-color: white;
  border-radius: 50%;
  left: 40px;
  top: 30px;
  z-index: 2;
}

/* Sun rays */
.sun-ray {
  position: absolute;
  width: 10px;
  height: 30px;
  background-color: black;
  top: 0;
  left: 50%;
  transform: translateX(-50%);
  transform-origin: center bottom;
}

.sun-ray:nth-child(2) { transform: rotate(45deg) translateX(-50%); top: 10%; left: 80%; }
.sun-ray:nth-child(3) { transform: rotate(90deg) translateX(-50%); top: 50%; left: 100%; }
.sun-ray:nth-child(4) { transform: rotate(135deg) translateX(-50%); top: 80%; left: 80%; }
.sun-ray:nth-child(5) { transform: rotate(180deg) translateX(-50%); top: 100%; left: 50%; }
.sun-ray:nth-child(6) { transform: rotate(225deg) translateX(-50%); top: 80%; left: 20%; }
.sun-ray:nth-child(7) { transform: rotate(270deg) translateX(-50%); top: 50%; left: 0%; }
.sun-ray:nth-child(8) { transform: rotate(315deg) translateX(-50%); top: 10%; left: 20%; }",Day &Night mode_icon.png,
The system shall allow downloading and applying new themes.,Downloadable theme,Square,100x100,black,,,navigation_zone,,Downloadable theme_icon.png,
The system shall display a compass for directional guidance.,Compass,circular,300x300,black,,,main_content_zone,".compass {
  width: 300px;
  height: 300px;
  border-radius: 50%;
  background-color: white;
  border: 6px solid black;
  position: relative;
  display: flex;
  align-items: center;
  justify-content: center;
}

/* Outer Ring */
.compass::before {
  content: """";
  position: absolute;
  width: 90%;
  height: 90%;
  border-radius: 50%;
  border: 4px solid dimgray;
  box-sizing: border-box;
}

/* Direction Labels */
.direction {
  position: absolute;
  font-weight: bold;
  font-size: 18px;
  color: black;
}

.direction.n { top: 8px; left: 50%; transform: translateX(-50%); }
.direction.s { bottom: 8px; left: 50%; transform: translateX(-50%); }
.direction.e { right: 8px; top: 50%; transform: translateY(-50%); }
.direction.w { left: 8px; top: 50%; transform: translateY(-50%); }

/* Needles */
.needle {
  position: absolute;
  width: 4px;
  height: 45%;
  background-color: black;
  top: 50%;
  left: 50%;
  transform-origin: bottom center;
}

.needle.n { transform: translate(-50%, -100%) rotate(0deg); background-color: white; }
.needle.s { transform: translate(-50%, -100%) rotate(180deg); }
.needle.e { transform: translate(-50%, -100%) rotate(90deg); background-color: white; }
.needle.w { transform: translate(-50%, -100%) rotate(-90deg); }",Compass_icon.png,
The system shall provide a calendar function.,Calender,Square,300x300,black,,,main_content_zone,".calendar {
  width: 300px;
  height: 300px;
  background-color: white;
  border: 4px solid black;
  border-radius: 16px;
  position: relative;
  padding-top: 40px;
  box-sizing: border-box;
}

/* Top binding section (header area) */
.calendar::before {
  content: """";
  width: 100%;
  height: 40px;
  background-color: black;
  border-top-left-radius: 12px;
  border-top-right-radius: 12px;
  position: absolute;
  top: 0;
  left: 0;
}

/* Top rings */
.calendar .ring {
  width: 16px;
  height: 24px;
  background-color: white;
  border-radius: 8px;
  position: absolute;
  top: 8px;
}

.calendar .ring.left {
  left: 40px;
}

.calendar .ring.right {
  right: 40px;
}

/* Date grid */
.calendar .grid {
  display: grid;
  grid-template-columns: repeat(7, 1fr);
  grid-template-rows: repeat(5, 1fr);
  gap: 8px;
  padding: 16px;
}

.calendar .grid .day {
  width: 100%;
  aspect-ratio: 1 / 1;
  background-color: black;
  border-radius: 4px;
}",Calender_icon.png,
The system shall display G-Force data for performance monitoring.,G-Force,circular,300x300,black,,,main_content_zone,,G-Force_icon.png,
The system shall support multiple non-Arabic languages.,Languages (Non Arabic),rectangular,150x300,black,,,navigation_zone,"{
  ""component"": ""LanguagesIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""80px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""space-between"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""left-bubble"": {
      ""position"": ""relative"",
      ""width"": ""50px"",
      ""height"": ""50px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'A'""
    },
    ""right-bubble"": {
      ""position"": ""relative"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'?'""
    },
    ""arrow"": {
      ""position"": ""absolute"",
      ""bottom"": ""-12px"",
      ""left"": ""48px"",
      ""width"": ""20px"",
      ""height"": ""20px"",
      ""borderLeft"": ""4px solid black"",
      ""borderBottom"": ""4px solid black"",
      ""transform"": ""rotate(-45deg)""
    }
  }
}",Languages (Non Arabic)_icon.png,
The system shall support Arabic language display.,Languages (Arabic),rectangular,150x300,black,,,navigation_zone,"{
  ""component"": ""LanguagesIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""80px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""space-between"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""left-bubble"": {
      ""position"": ""relative"",
      ""width"": ""50px"",
      ""height"": ""50px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'A'""
    },
    ""right-bubble"": {
      ""position"": ""relative"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""4px solid black"",
      ""borderRadius"": ""8px"",
      ""display"": ""flex"",
      ""alignItems"": ""center"",
      ""justifyContent"": ""center"",
      ""fontWeight"": ""bold"",
      ""fontSize"": ""24px"",
      ""content"": ""'?'""
    },
    ""arrow"": {
      ""position"": ""absolute"",
      ""bottom"": ""-12px"",
      ""left"": ""48px"",
      ""width"": ""20px"",
      ""height"": ""20px"",
      ""borderLeft"": ""4px solid black"",
      ""borderBottom"": ""4px solid black"",
      ""transform"": ""rotate(-45deg)""
    }
  }
}",Languages (Arabic)_icon.png,
The system shall run a display test during diagnostics.,Display Test,rectangular,200x400,black,,,navigation_zone,,Display Test_icon.png,
